category,appellation,name,variety,price,bottle_size,points,winery,description,alcohol,vintage
Red,US,Chronic Cellars 2015 Purple Paradise Red (Paso Robles),Red Blend,15,750 ml,89,Chronic Cellars,"Another accessible, complex and tasty wine from the Beckett brothers, this blend of 68% Zinfandel, 18% Petite Sirah, 8% Grenache and 6% Syrah offers baked and fresh blackberry notes on the nose, alongside slate, lilacs and clove. The layered palate shows blackened berries, espresso and a touch of caramel that ride a decent acidity deep into the finish.",14.40%,2015
Red,Spain,Pradorey 2011 Elite (Ribera del Duero),Tinta Fina,33,750 ml,89,Pradorey,"Gritty, rubbery aromas seem underripe given how warm and generous 2011 was. In the mouth, this is gravelly and like sandpaper. Burnt gritty berry flavors are saucy, while this tastes of herbal berry fruits and oak on the finish.",15%,2011
White,Italy,San Benedetto 2015 Vernaccia di San Gimignano,Vernaccia,14,750 ml,89,San Benedetto,"Delicate scents of yellow field flower and ripe orchard fruit float from the glass. The savory palate doles out yellow apple, yellow Bartlett pear, tangerine and a hint of stony mineral. Fresh acidity brightens the creamy flavors.",13%,2015
White,US,Soquel Vineyards 2015 Partners' Reserve Nelson Vineyard Chardonnay (Santa Cruz Mountains),Chardonnay,28,750 ml,89,Soquel Vineyards,"Dried apple and salted almond aromas show on the nose of this bottling from a winery started in 1987. There is a flinty character to the sip, alongside squeezed lime and baked apple, with a light smokiness noticeable throughout.",13.90%,2015
Red,Italy,Tenuta Cavalier Pepe 2011 Opera Mia (Taurasi),Aglianico,40,750 ml,89,Tenuta Cavalier Pepe,"Made entirely with Aglianico, this offers aromas suggesting cassis and Mediterranean herb. The concentrated palate delivers blackberry jam, vanilla and toast alongside firm rather astringent tannins. Drink through 2019.",14.50%,2011
Red,US,The Eyrie Vineyards 2015 Trousseau (Dundee Hills),Trousseau,40,750 ml,89,The Eyrie Vineyards,"Trousseau Gris is planted in the Russian River Valley, but this is a red Trousseau, and may well be the first in the country. The house style (as shown in Eyrie Pinots) is evident here. Light in color, low in alcohol, with tart, sleek wild-berry flavors, this also has a slightly musky note and a bit extra midpalate concentration. From young vines (planted in 2012) it's a fascinating new project from Jason Lett.",11.50%,2015
Red,US,WillowBrook Cellars 2014 Kaufman Sunnyslope Vineyard Pinot Noir (Sonoma Mountain),Pinot Noir,42,750 ml,89,WillowBrook Cellars,"Earthy black tea and clove are the highlights in this medium-bodied, moderately oaked wine, a fruity undercurrent of black cherry and strawberry lifting the savory, sassy elements to a bright core.",14.40%,2014
White,Spain,Adega Cachn 2015 Peza do Rei White (Ribeira Sacra),White Blend,21,750 ml,89,Adega Cachn,"Stone-fruit, orange peel and Ribeira Sacra's textbook schist-driven aromas make for a moderately complex and interesting nose. This is tightly wound, with an acidic backbone. Flavors of white peach, pithy citrus and mild bitterness finish with a waxy but firm texture. It's 70% Godello with Treixadura and Albario.",12.50%,2015
White,Italy,Alessandro Tofanari 2013 Astrea (Vernaccia di San Gimignano),Vernaccia,21,750 ml,89,Alessandro Tofanari,"Crisp and elegant, this offers alluring scents of white spring flower and yellow stone fruit. The bright linear palate mirrors the nose, offering yellow pear, crunchy apple, white almond and a citrusy note alongside vibrant acidity.",13.50%,2013
Red,Chile,Aresti 2015 Trisquel Series Altitud Merlot (Curic Valley),Merlot,21,750 ml,89,Aresti,"Baked earthy black-fruit aromas are followed by a blocky palate with jagged tannins and bold acidity. Blackberry, chocolate, coffee and raw-oak flavors finish with black cherry and plum notes as well as some hollowness.",15%,2015
Red,US,Clay Pigeon 2015 Cabernet Franc (Rogue Valley),Cabernet Franc,25,750 ml,89,Clay Pigeon,"This saw no new wood at all, and comes out of the bottle somewhat reduced, with aromas of rubber and little fruit. Decant and/or aerate it, and the flavors of pomegranate juice and black licorice arise, along with a definite green streak. This should be consumed in the next two or three years.",13.50%,2015
White,US,Conveyance 2015 Pinot Gris (Willamette Valley),Pinot Gris,17,750 ml,89,Conveyance,"Rich round fleshy fruit flavors of pear and cantaloupe show excellent concentration. There's a powdered sugary sweetness lurking in the background, not unpleasantly, but this is no bone dry example of Pinot Gris. Drink chilled with cold chicken or light pasta dishes.",13.20%,2015
White,Portugal,Cortes de Cima 2015 White (Alentejano),Portuguese White,22,750 ml,89,Cortes de Cima,"The wine comes from vineyards planted close to the Atlantic Ocean, south of Lisbon. That gives cool character to this attractive blend of Alvarinho, Viognier and Sauvignon Blanc. It has green fruits over a perfumed character that is touched by a herbal edge. The finely wrought wine is ready to drink.",13%,2015
White,US,Cru 2014 Vineyard Montage Chardonnay (Monterey County),Chardonnay,23,750 ml,89,Cru,"Rain on cement, lemon pith and the slightest hint of roasted nuts show on the rather tightly wound nose of this vineyard blend. The flavors are delicate and refreshing at first on the brisk palate, and then they warm up pleasantly into marcona almond and a bit of butter.",14.10%,2014
Red,US,Fenestra 2013 Estate Mourvdre (Livermore Valley),Mourvdre,29,750 ml,89,Fenestra,"Smoothness, calmness and a reserved fruit and spice character allow this medium-boded wine to glide effortlessly over the palate. It has moderate plum and rhubarb flavors, gentle acidity and tannins, and a lingering peppery finish.",14.30%,2013
White,Spain,Fillaboa 2014 Seleccin Finca Monte Alto Albario (Ras Baixas),Albario,26,750 ml,89,Fillaboa,"Fleshy tropical aromas are mature and not that lively or kicking. In the mouth, this single-vineyard wine feels tight and acidic but also oily and full in body. Salty citrus and stone-fruit flavors are braced by core acidity, while this offers another helping of salty nectarine flavors on a full, dense finish. Drink now.",12.50%,2014
White,Italy,Fornacelle 2015 Vernaccia di San Gimignano,Vernaccia,14,750 ml,89,Fornacelle,"Hawthorn, honeysuckle and white stone fruit aromas meld together on this mouthwatering white. The rounded medium-bodied palate offers ripe yellow apple, yellow pear and juicy tangerine alongside a hint of bitter almond. Fresh acidity lifts the creamy flavors.",13.50%,2015
Red,Italy,Antico Castello 2010 Taurasi,Aglianico,45,750 ml,89,Antico Castello,"Black pepper, mature plum and a whiff of damp soil carry over to the dense palate along with chopped herb and black-cherry extract. Assertive close-grained tannins provide the framework and leave a dusty, drying finish.",14.50%,2010
Red,France,Domaine Jeannin-Naltet 2014 Les Naugues Premier Cru (Mercurey),Pinot Noir,60,750 ml,89,Domaine Jeannin-Naltet,"With crisp fruit well to the fore, this is a bright, lively wine. Its fruitiness is balanced by firm tannins that lie in the background, lending structure. It should be aged a little longer, so drink from 2018.",12.50%,2014
Red,Italy,Feudi di San Gregorio 2014 Rubrato Aglianico (Irpinia),Aglianico,19,750 ml,89,Feudi di San Gregorio,"Enticing scents of red berry violet and menthol lift from the glass. On the bright polished palate, juicy morello cherry, blackberry, licorice and a sprinkling of white pepper are set against vibrant acidity and lithe athletic tannins. Drink through 2019.",13.50%,2014
Dessert,US,Frost Bitten 2015 Riesling (Yakima Valley),Riesling,14,375 ml,89,Frost Bitten,"The aromas leap out of the glass, with notes of potpourri, dried orange peel and honey. It drinks sweet, with viscous-feeling flower and marmalade flavors, with white flowers lingering on the finish.",11%,2015
White,Italy,Il Colombaio di Santa Chiara 2013 L'Albereta Riserva (Vernaccia di San Gimignano),Vernaccia,34,750 ml,89,Il Colombaio di Santa Chiara,"Delicate aromas suggesting ripe orchard fruit, citrus, vanilla and a whiff of toasted oak lift out of the glass. The bright tangy palate presents candied lemon drop, apricot and yellow apple framed in mouthwatering acidity. An almond note closes the finish.",13%,2013
White,US,Jekel 2015 Riesling (Monterey),Riesling,14,750 ml,89,Jekel,"There's a chalky baking soda touch to the nose of this bottling, with touches of key lime, ripe tangerine and orange blossom. The palate is tangy and grippy in chalky texture, with citrus peel flavors. Very fresh and almost entirely dry.",12%,2015
White,France,La Chablisienne 2014 La Sereine (Chablis),Chardonnay,24,750 ml,89,La Chablisienne,"This is a rich style of Chablis that has the crispness of 2014 while showing a more creamy, yellow fruit character. Part wood-aged and part matured in tank, it's balanced and ready to drink.",12.50%,2014
Red,US,Lucas & Lewellen 2014 Valley View Vineyard Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,25,750 ml,89,Lucas & Lewellen,"Touches of soy, cedar and smoked meat enhance the base of blueberry on the nose of this bottling from a vineyard in the geographic heart of the Santa Ynez Valley. Mocha and blackberry flavors show on the sip, where an even-keeled acidity holds it all together.",14.10%,2014
Red,Italy,Nicolucci 2013 Vigna del generale Predappio di Predappio Sangiovese (Romagna),Sangiovese,39,750 ml,89,Nicolucci,"This opens with aromas suggesting blackberry, underbrush and a whiff of new leather. The concentrated, savory palate shows black cherry, tobacco and white pepper alongside lithe tannins. Enjoy through 2020.",14%,2013
Red,US,Nine Hats 2014 Red (Columbia Valley (WA)),Red Blend,20,750 ml,89,Nine Hats,"Cabernet Sauvignon, Merlot and Syrah make up the majority of this blend. Aromas of dark plum, dried herb, black fruit and bittersweet chocolate are followed by full-bodied black-fruit flavors. It delivers a lot of enjoyment.",14.80%,2014
Red,US,Oregon Territory 2014 Tempranillo (Oregon),Tempranillo,18,750 ml,89,Oregon Territory,"From Paul O'Brien, a producer with multiple versions of Tempranillo, comes this budget offering. It spent 18 months in 30% new French oak, which suggests that these were declassified barrels originally meant for the pricier wines. Dried fruits, especially fig, a scent of leather, and strong highlights of cherry tobacco and coffee all support the notion that this got the fancy wine treatment.",13.50%,2014
Red,US,Paul O'Brien 2013 Reserva Tempranillo (Umpqua Valley),Tempranillo,60,750 ml,89,Paul O'Brien,"The very limited reserve bottling sees two years of barrel age in 100% new French oak. In this vintage, there isn't quite enough fruit ripeness to match that treatment. The light elegant fruit flavors of pomegranate and wild berry are a bit overpowered by the darker smoky oak flavors. A stiff streak of espresso runs through the finish. Best to drink this now through 2020.",13.50%,2013
Red,US,Plaisance Ranch 2014 Papa Joe's Private Stash Tempranillo (Applegate Valley),Tempranillo,25,750 ml,89,Plaisance Ranch,"This is a nice amalgam of loose threadsleather, tobacco, earth and coffee, with purple plum and pie-cherry fruit. The fruit flavors lean toward fruit leather rather than fresh-picked, and the tannins are a bit astringent.",14.30%,2014
Red,US,Robert Ramsay 2014 Le Mien Red (Columbia Valley (WA)),Rhne-style Red Blend,35,750 ml,89,Robert Ramsay,"Grenache makes up over half of this wine, with the rest Mourvdre, Counoise and Cinsault. Fresh fruit, raspberry and herb aromas are followed by sweet ripe red-fruit flavors. It hits the gong hard, showing some warmth on the finish.",15.20%,2014
Rose,US,Robert Renzoni 2016 Lyric Rose of Syrah (Temecula Valley),Syrah,28,750 ml,89,Robert Renzoni,"This is a very mineral-driven pink wine, with aromas of wet rocks, chalk and even steel giving way to the slightest hints of orange and strawberry. The flavors are very delicate and refreshing on the palate, with melon and red pear, rounded out by a key lime acidity.",11.40%,2016
Red,Italy,Tre Monti 2015 Campo di Mezzo Sangiovese (Romagna),Sangiovese,15,750 ml,89,Tre Monti,"Made with organic Sangiovese grapes, this opens with aromas of red berry, new leather and a whiff of violet. The bright juicy palate offers crushed raspberry, red cherry, sage and a hint of clove alongside fine-grained tannins. Enjoy through 2019.",13.50%,2015
Red,Chile,Concha y Toro 2014 Marques de Casa Concha Carmenre (Peumo),Carmenre,26,750 ml,89,Concha y Toro,"Cheesy smelling oak and slightly overripe fruit aromas are a little less than spotless on the nose. In the mouth, this is raw and saucy in feel, with biting tannins. Sauvage berry flavors are gamy, while this is drying, scratchy and rugged on the finish. Drink through 2022.",14%,2014
White,Germany,Dr. Ngler 2015 Rdesheimer Bischofsberg Kabinett Feinherb Riesling (Rheingau),Riesling,18,750 ml,89,Dr. Ngler,"Electric acidity anchors this otherwise sunny, peachy wine. Its delicately off-dry, offering just enough sweet honey and melon flavors to offset the sharp lemon and lime tones that flood the midpalate. The finish is lean and a bit steely. Drink now through 2020.",10.50%,2015
